site_id	Site	Sample Type	Sample Point	Ag	alk_bicarb	alk_carb	alk_total	As	B	Ba	Be	Br	Ca	Cd	Cl	Co	Cr	Cu	DO	EC	F	Fe	K	Li	Mg	Mn	Mo	Na	Ni	ORP	P	Pb	ph_field	ph_lab	Sb	Se	SO4	Sr	TDS	TEMP	Tl	TURB	U	V	Zn
S14	22354	GW-Upgradient	MW-16-03		190	-5	190	-0.00075	0.39	0.006	-0.00062		410	-0.0002	19	-0.00019	-0.0012		0.53	1892.6	1.5	0.85	3.7	0.11	140		-0.0011	12		-39.4	-0.076	-0.00045	7.11		-0.00057	-0.00089	1700	12	2400	12.43	-0.0002	4		-0.00082	
S11	22354	GW-Upgradient	MW-16-04		230	-5	230	-0.00075	0.15	0.011	-0.00062		540	-0.0002	35	-0.00019	-0.0012		0.54	1752	0.99	0.051	2.1	0.022	50		-0.0011	11		-179.6	-0.076	-0.00045	7.23		-0.00057	-0.00089	1400	18	2000	11.84	-0.0002	0.68		-0.00082	
S10	22354	GW-Upgradient	MW-16-05		190	-5	190	-0.00075	0.21	0.0059	-0.00062		420	-0.0002	11	-0.00019	-0.0012		0.51	1789.6	1.5	0.93	2.9	0.045	130		-0.0011	8.1		-92.1	-0.076	-0.00045	7.12		-0.00057	-0.00089	1400	12	1900	12.36	-0.0002	1.25		-0.00082	
S34	25410	CCP Porewater	Leach				35	0.0023	239	0.13	0.0078		911	0.0801	7390	0.0614	0.014	0.0064	0	0	68	-0.25	177	0.814	3980	256	0.189	768	0.439	0		-0.001	0	6.59	0.0066	0.53	5820	3.28	24200	0	0.0045	0		0.0125	1.32
S62	25410	GW-Upgradient	BMW-35				326	0.0007	0.103	0.132	-0.001		120	-0.001	13	0.0005	0.0008	0.0007	0.14	761.37	0.4	0.0716	0.613	0.0162	20.4	0.282	0.0008	5.89	0.0054	17.1		-0.001	6.84	7.28	-0.001	-0.001	18	0.459	416	14.38	-0.002	0.58		-0.005	-0.015
S60	25427	CCP Porewater	Leach				456	0.0373	8.65	0.0289	-0.001		7.25	0.0003	22	0.0008	0.0983	0.0055	0	0	1.1	0.409	26.8	0.0026	0.113	0.0031	0.796	498	0.0012	0		0.001	0	9.91	0.0008	0.0541	633	0.139	1470	0	-0.002	0		0.371	-0.015
S6	25427	GW-Upgradient	MW-17				472	0.0005	0.168	0.242	-0.001		148	-0.001	1	-0.001	-0.0015	0.0015	0.35	968.75	0.48	-0.025	5.2	0.0221	26	0.0187	0.0008	5.52	0.0016	74.6		-0.001	6.77	6.75	-0.001	0.0067	24	0.873	518	16.52	-0.002	2.06		-0.005	-0.015
S82	33106	CCP Porewater	AB-21S 				290	0.665	3.6	0.916	-0.000249		120	0.000146	24	0.005	-0.000185	-0.000787	0.35	385	2.3	1.79	12.4	0.147	24.5	0.787	0.707	9.5	0.00334	120		-0.000037	7.09	7.4	0.000835	0.00122	83	3.24	491	16	0.00028	8.7		0.0028	-0.004
S83	33106	CCP Porewater	AB-23S 				160	0.832	0.557	0.183	-0.000249		52.1	-0.000032	6.4	-0.000077	-0.000185	-0.000787	0.16	364	0.07	0.096	9.65	0.205	11.4	0.088	0.0608	5.91	0.00064	276		-0.000037	8.13	8.2	0.000589	-0.000193	31	1.96	211	14	-0.000041	8.3		0.00298	-0.004
S84	33106	CCP Porewater	AB-24SL 				230	0.549	2.71	0.376	-0.000249		164	0.00014	12	0.000117	-0.000185	-0.000787	0.16	949	1.4	0.744	9.19	0.159	34.7	1.9	0.732	4.29	0.00206	-305		-0.000037	7.21	8.1	0.00155	0.000971	280	3.74	700	16	0.00006	6.2		0.00592	-0.004
S81	33106	GW-Upgradient	AB-12S 				3.52	-0.000111	0.007	0.073	-0.000249		0.166	-0.000032	10	0.00161	-0.000185	0.00138	2.79	51	-0.0479	0.151	1.29	-0.002	1.9	0.099	-0.00018	4.52	0.000277	461		0.000041	5.12	6.8	-0.000104	-0.000193	0.08	0.003	34	16	-0.000041	55.1		0.000304	0.008
S31	33107	CCP Porewater	AB-10SL				270	1.39	15.1	0.473	-0.000249		243	0.000639	7.6	0.00186	0.000238	-0.000787	1.6	175.6	6.2	0.271	66.9	1.58	63.1	0.692	4.01	82.3	0.0172	-19		-0.000037	8.1	7.76	0.00144	0.000689	770	6.81	1540	19.6	0.000088	1.5		0.00884	-0.004
S32	33107	CCP Porewater	AB-21S				270	6.67	8.12	0.056	-0.000249		138	-0.000032	760	0.00033	0.00178	-0.000787	0.3	3160	0.28	311	40.6	0.002	174	13	0.00856	21.9	0.0025	-94		-0.000037	6.4	6.24	-0.000104	-0.000193	160	3.16	1760	17.5	-0.000041	6.1		-0.000114	-0.004
S29	33107	GW-Upgradient	BG-3S				66	0.000233	0.007	0.513	-0.000249		6.26	0.000035	2	0.000201	0.00878	-0.000787	3.5	143.6	0.8	0.13	3.9	0.004	9.47	0.005	-0.00018	8.39	0.0116	155.5		0.000043	6.2	6.53	-0.000104	-0.000193	8.8	0.13	117	15.5	-0.000041	9.9		0.00867	-0.004
S30	33107	GW-Upgradient	GWA-12S				2.34	-0.000111	-0.005	0.048	-0.000249		0.326	-0.000032	2.2	0.000149	0.00404	0.000806	5.5	28.5	-0.0479	0.022	1.48	-0.002	0.395	0.008	-0.00018	3.44	0.00327	103.5		0.000054	5.2	6.13	-0.000104	-0.000193	1.4	0.01	-16.75	16.3	0.000048	2.6		-0.000114	-0.004
S36	35406	CCP Porewater	CA-1					0.103	3.18	0.0291	-0.0002		561	-0.0002	4.7	-0.001	-0.002		0	2520	-0.05	0.504	41.4	0.329	33.5	0.297	0.19	15.1		-201	0.082	-0.001	7.65		-0.001	-0.001	1710	4.75	2140	12.67	-0.001	1.96		0.0028	
S38	35406	CCP Porewater	CA-2					1.23	23.4	0.0233	-0.0002		532	-0.0002	12.1	-0.001	-0.002		0.26	2440	0.15	0.552	41.8	0.353	20.3	0.278	1.24	24		-101	0.52	-0.001	7.32		-0.001	-0.001	1240	4	2030	12.48	-0.001	1.22		0.0014	
S39	35406	CCP Porewater	CA-3					0.189	2.03	0.024	-0.0002		461	0.0016	428	-0.001	-0.002		0.49	9840	0.57	7.22	2100	0.697	200	1.12	0.139	449		-192	0.18	-0.001	7.68		-0.001	-0.001	4910	1.98	7730	14.03	-0.001	0.26		-0.001	
S43	35406	CCP Porewater	S-1008					0.112	1.38	0.0481	-0.0002		108	0.00087	18.6	0.0139	-0.002		1.59	1020	0.061	0.213	13.1	0.0996	24	0.449	0.0934	82.9		-19	0.76	-0.001	6.79		0.0312	-0.001	142	1.81	620	12.87	0.002	30.3		0.64	
S42	35406	CCP Porewater	Jules Verne					0.0611	7.04	0.0202	-0.0002		229	-0.0002	43.7	-0.001	-0.002		8.38	2110	0.8	-0.1	14.8	0.252	52.4	0.0212	0.347	133		103	0.11	-0.001	7.99		-0.001	-0.001	734	1.87	1390	12.59	-0.001	0.93		0.0021	
S41	35406	CCP Porewater	Leachate Outfall 602					0.0026	25.2	0.0227	-0.001		641	-0.0002	398	-0.001	0.0111		9.44	4670	4.8	-0.1	96.9	1.51	216	0.108	0.472	124		93	-0.05	-0.001	7.89		-0.001	0.143	1980	2.85	3800	10.37	-0.001	0.02		-0.001	
S68	42195	CCP Porewater	TW12-12122023		52.1	-2.6	52.1	0.587	3.09	0.0451	-0.00062		464	-0.000197	6.38	0.21	-0.0012	-0.0017	0.28	3474	0.631	249	56.7	1.61	149	8.96	0.131	30.6	0.0723	-162.8		-0.00045	6.86		-0.00057	-0.00089	2100	9.45	2670	15.8	-0.0002	0.38		-0.00082	-0.015
S76	42201	CCP Porewater	TW02-12122023		166	-2.6	166	0.259	0.649	0.0269	-0.00062		204	0.000293	20.2	-0.00019	-0.0012	-0.0017	0.21	1298	0.221	40.2	14.8	0.145	23.2	2.11	0.0918	14.4	-0.00147	-118.9		-0.00045	6.76		-0.00057	-0.00089	485	2.41	854	16.2	0.000401	13.5		-0.00082	0.0195
S77	42201	CCP Porewater	TW03-12132023		163	-2.6	163	0.373	3.18	0.0209	0.00071		365	0.000269	12.4	0.000255	-0.0012	-0.0017	0.14	2314	0.265	62.5	31.7	0.338	56.9	4.84	0.362	13.1	-0.00147	-144.8		-0.00045	6.86		-0.00057	0.001	1140	5.2	1690	16.2	0.000546	8.53		-0.00082	-0.015
S21	46001	CCP Porewater	P-1901				247	0.00365	0.278	0.0339	-0.000007	0.36	33.7	-0.000004	10.5	0.000024	0.00019	0.0012	0.36	1036	0.06	0.005	90.7	1.24	0.013	0.00016	0.593	41.4	0.0141	14.6		0.0002	11.68	11.5	0.000214	0.0262	112	1.43	450	15.9	-0.00002	1.53	0.000008	0.0884	0.002
S22	46001	CCP Porewater	P-1902				265	0.00295	0.19	0.065	-0.000007	0.3	81.8	-0.000004	8.34	0.00002	0.00013	-0.0001	0.18	1130	0.05	0.004	71.2	0.988	0.02	0.00015	0.364	40.1	0.0068	-1		-0.00005	11.78	11.7	0.000152	0.0249	133	2.62	490	15.9	-0.00002	1.39	0.00001	0.0478	-0.001
S23	46001	CCP Porewater	P-1903				240	0.00334	0.306	0.099	-0.000007	0.22	111	-0.000004	11.2	0.000012	0.00012	0.0002	0.26	1068	0.1	0.005	57.2	0.694	0.014	-0.00008	0.197	34.7	0.0068	8.9		-0.00005	11.87	11.7	0.00018	0.0307	163	3.58	490	14.7	-0.00002	1.16	0.000005	0.0731	0.012
