genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__Palsa-948	0	0	0	0	4	0	0	0	0	0	0	0	0	71	0	7	0	0	0	8	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	20	0	0	0	0	19	0	36	0	30	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	50	0
g__Neoroseomonas	0	0	0	371	15	0	30	353	0	0	2	0	0	0	7	0	25	0	0	0	0	5	0	0	38	0	0	0	0	0	0	116	0	1352	0	0	2	0	18	0	67	0	27	0	0	0	0	69	0	730	0	123	20	98	28	23	42	0	0	0	31	0	0	0	0	20	0	157	0	0	25	16	0	0	75	0	283	0	0	0
g__Magnetospirillum	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	20	0	0	4	0	323	0	0	0	0	38	295	0	206	0	0	0	0	0	0	0
g__Thiovibrio	0	0	307	0	0	0	0	0	0	0	0	0	0	0	224	0	0	58	43	0	0	0	0	257	0	5	23	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	3	266	0	0	0	0	0	0	224	0	429	0	10	22	332	17	67	669	279	0	0	0	0	0	0	0
g__2-12-FULL-35-15	0	0	21	207	175	0	4	0	0	11	0	40	0	0	121	150	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	111	0	0	0	0	0	15	0	163	0	0	0	0	472	0	92	261	184	0	0	0	123	0	0	0	0	0	2	0	0	80	0	0	0	0	33	15	576	417	203	0
g__Flavobacterium	0	14	10	17	5269	11	449	1327	6	37	2	13	0	3	706	4849	0	20	48	55	0	265	0	0	0	0	0	0	0	520	470	0	0	15	0	0	0	24	0	1260	0	2	254	0	47	3332	64	3707	0	4	11	999	27	0	551	0	4574	0	0	257	0	0	0	0	44	1962	0	0	0	334	234	0	0	0	2261	0	870	0	0	0
g__UBA952	0	0	0	0	435	8	411	357	0	0	0	0	0	0	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	452	0	369	0	0	0	316	357	0	62	0	1184	0	0	0	3	0	0	3	0	28	0	0	0	0	0	0	0	0	138	0	15	0	0	0
g__JAQBQQ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
g__VGKZ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
g__RI-231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	3	0	0	0	282	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26	162	37	0	0	2	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	6
g__Reyranella	36	16	2	918	0	0	983	284	0	1130	1995	587	0	2603	928	32	0	869	1361	55	605	187	0	2233	874	807	415	14	0	254	1023	16	0	0	11	480	0	1126	1194	567	85	390	68	0	645	405	0	297	0	25	1591	245	365	475	1110	497	93	18	29	0	1686	184	0	52	388	581	0	63	0	1779	129	0	927	229	1051	45	636	0	1661	1409
g__DB1	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	0	0	0
g__Hydrogenophaga	238	12876	0	198	43	0	2297	552	81	0	104	42	0	0	617	97	73	154	389	2616	0	0	58	109	1038	0	0	37	228	495	268	0	0	424	0	376	0	174	18	603	0	0	0	0	0	1971	0	0	0	0	7140	675	2933	382	403	2762	125	0	0	0	1740	50	0	465	2217	607	0	0	0	1126	1350	166	3287	1242	200	64	345	520	0	0
g__WYBL01	0	0	0	0	0	0	47	6	0	14	8	0	0	0	308	6	0	0	0	0	0	0	0	0	10	32	0	0	0	0	14	0	0	0	0	9	0	29	0	2094	0	0	0	0	4	8	0	29	0	0	179	0	853	0	1900	0	94	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	10	0	60	0	6	0	13	647
g__Clostridium_I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
